integrantes,unidad,programa,vinculacion,horas_dedicacion,url,grupo,inicio_vinculacion,fin_vinculacion,posgrade,clasification,id_scholar,h_index,articulos,capitulos,libros,softwares,innovaciones,trabajos_dirigidos
GERMAN ANDRES TORRES ESCOBAR,CENTRO REGIONAL BOGOTA,PSICOLOGÍA,Integrante,5,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000127713,AYELEN,2017-07-01, Actual,Maestría/Magister,Sin clasificar,NA,0,5,4,0,0,0,4
BENILDA LAYNE BERNAL,CENTRO REGIONAL BOGOTA,PSICOLOGÍA,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000551988,AYELEN,2008-09-01, Actual,Maestría/Magister,Sin clasificar,c1XCBZ0AAAAJ,2,2,2,2,0,0,18
LAURA STELLA PARRA ESPITIA,CENTRO REGIONAL BOGOTA,LICENCIATURA EN EDUCACIÓN INFANTIL,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001471845,AYELEN,2016-02-01, Actual,Maestría/Magister,Sin clasificar,NA,0,1,3,0,0,0,21
ROLAN CORREA LOPEZ,CENTRO REGIONAL BOGOTA,PSICOLOGÍA,Integrante,4,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001595362,AYELEN,2018-01-01, Actual,Maestría/Magister,Sin clasificar,NA,0,5,0,0,0,0,22
VIVIANA CARMENZA AVILA NAVARRETE,CENTRO REGIONAL BOGOTA,PSICOLOGÍA,Integrante,12,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001527700,AYELEN,2013-06-01, Actual,Maestría/Magister,Sin clasificar,pjSE_C0AAAAJ,2,3,0,1,0,0,44
HUBER YECID CASTRO ESCOBAR,CENTRO REGIONAL MONTERIA,LICENCIATURA EN EDUCACIÓN INFANTIL,Integrante,20,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000525693,CALIDAD DE VIDA,2014-08-01, Actual,Maestría/Magister,Sin clasificar,lOUtSkIAAAAJ&hl,0,3,1,0,0,0,10
ARGEMIRO JOSE AMAYA BUELVAS,CENTRO REGIONAL MONTERIA,PSICOLOGÍA,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001294644,CALIDAD DE VIDA,2015-05-01, Actual,Maestría/Magister,Sin clasificar,FmH8nIkAAAAJ&hl,1,2,0,0,0,0,7
CARLOS RODRIGUEZ SANTOS,CENTRO REGIONAL MONTERIA,DERECHO,Integrante,12,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000763330,CALIDAD DE VIDA,2015-02-01, Actual,Especialización,Sin clasificar,NRo7HZIAAAAJ,1,0,1,0,0,0,5
LIVIA DIAZ GONZALEZ,CENTRO REGIONAL MONTERIA,PSICOLOGÍA,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000945765,CALIDAD DE VIDA,2015-03-01, Actual,Doctorado,Sin clasificar,NA,0,0,0,0,0,0,31
MARIA CLAUDIA DIAZ SOTOMAYOR,CENTRO REGIONAL MONTERIA,PSICOLOGÍA,Integrante,4,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001445228,CALIDAD DE VIDA,2020-01-01, Actual,Maestría/Magister,Sin clasificar,NA,0,0,0,0,0,0,8
VICTOR TERAN REALES,Otro,Otro,Integrante,15,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000489573,CALIDAD DE VIDA,1996-03-01, Actual,Doctorado,Sin clasificar,kyNzB50AAAAJ,6,13,8,8,0,0,106
ESTELIO JOSE ANGULO,Otro,Otro,Integrante,20,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001629460,CALIDAD DE VIDA,2015-01-01, Actual,Doctorado,Investigador Senior (IS),Cw9U7VIAAAAJ,9,2,10,2,0,0,3
PAULJAVIER BEDOYA PASTRANA,Otro,Otro,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001616270,CALIDAD DE VIDA,2016-06-01, Actual,Maestría/Magister,Sin clasificar,NA,0,1,3,0,0,0,7
CANDY LORENA CHAMORRO GONZALEZ,"FACULTAD DE CIENCIAS ADMINISTRATIVAS, ECONOMICAS Y CONTABLES",CONTADURÍA PÚBLICA,Integrante,6,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000087869,CONTAS,2019-02-01, Actual,Especialización,Sin clasificar,vOpE5gUAAAAJ&hl,4,7,3,0,0,0,14
MARIA VICTORIA AGUDELO VARGAS,"FACULTAD DE CIENCIAS ADMINISTRATIVAS, ECONOMICAS Y CONTABLES",CONTADURÍA PÚBLICA,Integrante,2,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000574961,CONTAS,2012-01-01, Actual,Doctorado,Investigador Junior (IJ),NA,0,3,3,0,0,3,1
ALBA LUCIA GOMEZ RAMIREZ,"FACULTAD DE CIENCIAS ADMINISTRATIVAS, ECONOMICAS Y CONTABLES",CONTADURÍA PÚBLICA,Integrante,13,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000512664,CONTAS,2017-01-01, Actual,Maestría/Magister,Sin clasificar,NA,0,0,3,0,0,0,8
FARLEY SARY ROJAS RESTREPO,"FACULTAD DE CIENCIAS ADMINISTRATIVAS, ECONOMICAS Y CONTABLES",CONTADURÍA PÚBLICA,Integrante,4,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000009209,CONTAS,2016-05-01, Actual,Maestría/Magister,Investigador Junior (IJ),Q0JvK8cAAAAJ,7,9,0,1,0,0,12
LEIDY PATRICIA RODRIGUEZ PINEROS,"FACULTAD DE CIENCIAS ADMINISTRATIVAS, ECONOMICAS Y CONTABLES",CONTADURÍA PÚBLICA,Integrante,2,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001836432,CONTAS,2020-06-01, Actual,Pregrado/Universitario,Sin clasificar,NA,0,0,0,0,0,0,3
LUZ MERY ORTIZ SANCHEZ,"FACULTAD DE CIENCIAS ADMINISTRATIVAS, ECONOMICAS Y CONTABLES",CONTADURÍA PÚBLICA,Integrante,0,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001322788,CONTAS,2019-01-01, Actual,Maestría/Magister,Sin clasificar,NA,0,4,0,0,0,0,6
MARIELA VELASQUEZ PEREZ,"FACULTAD DE CIENCIAS ADMINISTRATIVAS, ECONOMICAS Y CONTABLES",CONTADURÍA PÚBLICA,Integrante,8,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001500476,CONTAS,2019-01-01, Actual,CvLAC oculto,CvLAC oculto,NA,0,0,1,0,0,0,3
OLGA PATRICIA VASQUEZ MONTOYA,"FACULTAD DE CIENCIAS ADMINISTRATIVAS, ECONOMICAS Y CONTABLES",CONTADURÍA PÚBLICA,Integrante,2,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001409276,CONTAS,2015-02-01, Actual,Maestría/Magister,Sin clasificar,NA,0,1,0,0,0,0,1
RUBY STELLA CABRERA JARAMILLO,"FACULTAD DE CIENCIAS ADMINISTRATIVAS, ECONOMICAS Y CONTABLES",CONTADURÍA PÚBLICA,Integrante,4,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001580615,CONTAS,2019-02-01, Actual,Maestría/Magister,Sin clasificar,_Swwv5oAAAAJ,1,3,1,0,0,0,1
SOL BEATRIZ VELEZ ESCOBAR,"FACULTAD DE CIENCIAS ADMINISTRATIVAS, ECONOMICAS Y CONTABLES",CONTADURÍA PÚBLICA,Integrante,8,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001530033,CONTAS,2020-06-01, Actual,Maestría/Magister,Sin clasificar,NA,0,1,1,0,0,0,2
CARLOS EDUARDO CASTANO RIOS,Otro,Otro,Integrante,2,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001412587,CONTAS,2015-01-01, Actual,Maestría/Magister,Investigador Asociado (I),LRUmr_cAAAAJ,14,5,0,0,0,0,36
PEDRO LUIS DUQUE HURTADO,CENTRO REGIONAL MANIZALES,NEGOCIOS INTERNACIONALES,Integrante,4,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001488843,ECOSOL,2017-12-01, Actual,Maestría/Magister,Sin clasificar,tEPrd4IAAAAJ,7,10,2,0,0,0,13
MARIA ISABEL GUERRERO MOLINA,"FACULTAD DE CIENCIAS ADMINISTRATIVAS, ECONOMICAS Y CONTABLES",NEGOCIOS INTERNACIONALES,Integrante,0,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000514322,ECOSOL,2018-03-01, Actual,Doctorado,Sin clasificar,PXnaNH4AAAAJ,0,3,3,0,0,0,3
JAIME ANTERO ARANGO MARIN,CENTRO REGIONAL MANIZALES,ADMINISTRACIÓN DE EMPRESAS,Integrante,8,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000657247,ECOSOL,2018-01-01, Actual,Doctorado,Investigador Asociado (I),qn1Kr9EAAAAJ,7,0,0,0,2,0,4
LAURA ELENA ZAPATA JIMENEZ,"FACULTAD DE CIENCIAS ADMINISTRATIVAS, ECONOMICAS Y CONTABLES",ADMINISTRACIÓN DE EMPRESAS,Integrante,5,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000313220,ECOSOL,2016-07-01, Actual,Maestría/Magister,Sin clasificar,IjPj8zoAAAAJ,0,0,3,0,0,1,8
LUIS FERNANDO QUIROS ARANGO,"FACULTAD DE CIENCIAS ADMINISTRATIVAS, ECONOMICAS Y CONTABLES",ADMINISTRACIÓN DE EMPRESAS,Integrante,0,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001502345,ECOSOL,2017-02-01, Actual,Maestría/Magister,Sin clasificar,NA,0,2,3,0,0,0,1
MARTHA DEL SOCORRO ALZATE CARDENAS,"FACULTAD DE CIENCIAS ADMINISTRATIVAS, ECONOMICAS Y CONTABLES",ADMINISTRACIÓN DE EMPRESAS,Integrante,8,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000942367,ECOSOL,2014-02-01, Actual,Maestría/Magister,Investigador Asociado (I),bEZsTPUAAAAJ,2,1,2,3,0,0,50
OLGA LUCIA ARBOLEDA ALVAREZ,"FACULTAD DE CIENCIAS ADMINISTRATIVAS, ECONOMICAS Y CONTABLES",ADMINISTRACIÓN DE EMPRESAS,Integrante,20,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000066346,ECOSOL,1995-02-01, Actual,Maestría/Magister,Investigador Junior (IJ),94o7mbgAAAAJ,0,14,8,12,0,0,5
OSWALDO ANTONIO SALGADO CANAVERAL,"FACULTAD DE CIENCIAS ADMINISTRATIVAS, ECONOMICAS Y CONTABLES",ADMINISTRACIÓN DE EMPRESAS,Integrante,4,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001540063,ECOSOL,2013-06-01, Actual,Maestría/Magister,Sin clasificar,R1p685wAAAAJ,1,1,2,1,0,0,3
SEBASTIAN ROBLEDO GIRALDO,CENTRO REGIONAL MANIZALES,NEGOCIOS INTERNACIONALES,Integrante,8,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001430153,ECOSOL,2018-08-01, Actual,Doctorado,Investigador Junior (IJ),RGUTAfEAAAAJ,7,6,0,0,0,0,17
VICTORIA BLAQUISED RIVERA,"FACULTAD DE CIENCIAS ADMINISTRATIVAS, ECONOMICAS Y CONTABLES",ADMINISTRACIÓN DE EMPRESAS,Integrante,8,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000212407,ECOSOL,2013-06-01, Actual,Maestría/Magister,Sin clasificar,oZ4fX-IAAAAJ,0,0,4,0,0,1,27
CARMEN YSABEL MARTINEZ DE MERINO,FACULTAD DE EDUCACIÓN Y HUMANIDADES,LICENCIATURA EN EDUCACIÓN INFANTIL,Integrante,20,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000031091,"EDUCACION, INFANCIA Y LENGUAS EXTRANJERAS",2018-01-01, Actual,Doctorado,Investigador Senior (IS),a5eJhxMAAAAJ,3,5,0,0,0,0,4
MONICA MARIA ALVAREZ GALLEGO,FACULTAD DE EDUCACIÓN Y HUMANIDADES,LICENCIATURA EN EDUCACIÓN INFANTIL,Integrante,19,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001312596,"EDUCACION, INFANCIA Y LENGUAS EXTRANJERAS",2014-02-01, Actual,Maestría/Magister,Sin clasificar,sw3ZQ-kAAAAJ,3,6,1,0,0,0,26
ADRIANA MARIA GALLEGO HENAO,FACULTAD DE EDUCACIÓN Y HUMANIDADES,LICENCIATURA EN EDUCACIÓN INFANTIL,Integrante,18,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000961124,"EDUCACION, INFANCIA Y LENGUAS EXTRANJERAS",2007-02-01, Actual,Maestría/Magister,Investigador Asociado (I),zts5sHIAAAAJ,9,22,4,0,0,0,38
JOSE FEDERICO AGUDELO TORRES,FACULTAD DE EDUCACIÓN Y HUMANIDADES,LICENCIATURA EN EDUCACIÓN INFANTIL,Integrante,8,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001509155,"EDUCACION, INFANCIA Y LENGUAS EXTRANJERAS",2014-02-01, Actual,Maestría/Magister,Investigador Junior (IJ),RHbX7ioAAAAJ,4,9,15,1,0,0,1
JOSE VICENTE ABAD OLAYA,FACULTAD DE EDUCACIÓN Y HUMANIDADES,LICENCIATURA LENGUAS EXTRANJERAS CON ÉNFASIS EN INGLÉS,Integrante,21,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001367136,"EDUCACION, INFANCIA Y LENGUAS EXTRANJERAS",2013-03-01, Actual,Maestría/Magister,Sin clasificar,trVcxggAAAAJ&hl,4,4,5,0,0,0,35
JOSE WILMAR PINO MONTOYA,FACULTAD DE EDUCACIÓN Y HUMANIDADES,LICENCIATURA EN EDUCACIÓN INFANTIL,Integrante,22,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001236733,"EDUCACION, INFANCIA Y LENGUAS EXTRANJERAS",2013-06-01, Actual,Doctorado,Investigador Asociado (I),LhNZ3BgAAAAJ&hl,10,13,4,1,0,0,17
OSCAR PELAEZ HENAO,FACULTAD DE EDUCACIÓN Y HUMANIDADES,LICENCIATURA LENGUAS EXTRANJERAS CON ÉNFASIS EN INGLÉS,Integrante,8,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000011178,"EDUCACION, INFANCIA Y LENGUAS EXTRANJERAS",2014-02-01, Actual,Maestría/Magister,Sin clasificar,WasxVdYAAAAJ&hl,3,3,0,0,0,0,0
SONIA RUTH QUINTERO ARRUBLA,FACULTAD DE EDUCACIÓN Y HUMANIDADES,LICENCIATURA EN EDUCACIÓN INFANTIL,Integrante,8,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001490544,"EDUCACION, INFANCIA Y LENGUAS EXTRANJERAS",2017-01-01, Actual,Maestría/Magister,Investigador Asociado (I),Bo9j0C0AAAAJ&hl,5,8,1,0,0,0,13
LEISY MAGDALI ARROYAVE TABORDA,ESCUELA DE POSGRADOS,MAESTRÍA EN EDUCACIÓN,Integrante,8,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000113376,"EDUCACION, INFANCIA Y LENGUAS EXTRANJERAS",2021-01-01, Actual,Maestría/Magister,Sin clasificar,KVBCFWkAAAAJ&hl,2,7,0,0,0,0,1
YUSTY CAROLINA RESTREPO SEGURA,ESCUELA DE POSGRADOS,MAESTRÍA EN INTERVENCIONES PSICOSOCIALES,Integrante,0; 0; 0; 0,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001642056,"EDUCACION, INFANCIA Y LENGUAS EXTRANJERAS; FARMACODEPENDENCIA Y OTRAS ADICCIONES",2019-01-01; 2020-02-01, Actual,Maestría/Magister,Sin clasificar,BhyHthYAAAAJ,2,4; 3,0; 0,0; 0,0; 0,0; 0,0; 0
JOSE ALCIDES CASTRO ACEVEDO,CENTRO REGIONAL MANIZALES,PSICOLOGÍA,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001344426,ESTUDIOS DE FENOMENOS PSICOSOCIALES,2018-01-01, Actual,Doctorado,Sin clasificar,-RwHy5gAAAAJ,0,0,1,0,0,0,10
KATY LUZ MILLAN OTERO,FACULTAD DE PSICOLOGIA Y CIENCIAS SOCIALES,PSICOLOGÍA,Integrante,5,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000107163,ESTUDIOS DE FENOMENOS PSICOSOCIALES,2016-07-01, Actual,Maestría/Magister,Sin clasificar,C9ZdWuEAAAAJ,2,5,2,0,0,0,42
MAGDA VICTORIA DIAZ ALZATE,FACULTAD DE PSICOLOGIA Y CIENCIAS SOCIALES,PSICOLOGÍA,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000007210,ESTUDIOS DE FENOMENOS PSICOSOCIALES,2015-05-01, Actual,Maestría/Magister,Investigador Junior (IJ),GsRFkT8AAAAJ,4,10,3,1,0,0,23
MARIA CRISTINA CORREA DUQUE,CENTRO REGIONAL MANIZALES,PSICOLOGÍA,Integrante,9,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001632953,ESTUDIOS DE FENOMENOS PSICOSOCIALES,2017-02-01, Actual,Maestría/Magister,Sin clasificar,SosfQ4QAAAAJ&hl,3,3,0,0,0,0,0
PAULA VANESSA SANCHEZ AGUDELO,CENTRO REGIONAL MANIZALES,PSICOLOGÍA,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001453945,ESTUDIOS DE FENOMENOS PSICOSOCIALES,2013-02-01, Actual,Doctorado,Sin clasificar,IiNO1TwAAAAJ,5,4,1,0,0,0,3
SANDRA ISABEL MEJIA ZAPATA,FACULTAD DE PSICOLOGIA Y CIENCIAS SOCIALES,PSICOLOGÍA,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000575917,ESTUDIOS DE FENOMENOS PSICOSOCIALES,2016-01-01, Actual,Maestría/Magister,Investigador Asociado (I),jsQSXroAAAAJ,3,5,0,1,0,22,32
NICOLASA MARIA DURAN PALACIO,FACULTAD DE PSICOLOGIA Y CIENCIAS SOCIALES,PSICOLOGÍA,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000328774,ESTUDIOS DE FENOMENOS PSICOSOCIALES,2013-06-01, Actual,Doctorado,Investigador Asociado (I),ULpZsLAAAAAJ&hl,7,21,6,1,0,0,14
CAROLINA VALDES HENAO,CENTRO REGIONAL MANIZALES,PSICOLOGÍA,Integrante,5,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001561422,ESTUDIOS DE FENOMENOS PSICOSOCIALES,2015-02-01, Actual,Maestría/Magister,Sin clasificar,r-CYB90AAAAJ&hl,2,3,0,1,0,0,13
